user_id	username	name	tweet	language
77155402	kerusisepi	Abiang Vaccinated | KS	"kena reject sebab tweet perkataan ""bodoh"" ""siot"" hahahahaha"	in
101708071	ifthitah	Ifthi ™ #OxfordinsideMe 🇬🇧🇲🇾	@NatashaKuang Sia jai duay krub…RIP!	in
1929344084	_shazlyien	Alinnnn’gon 🇲🇾🇵🇸	Beginilah, kifarah is real🙌🏻	in
977688164	piiyyaaaa	Priyatarsseny Balamurugen	@KaneshBruno Atha gila kuasa 🤦🏼‍♀️	in
2942990857	salehuddin098	Diiiin	@fadzlisulam @AzriZapri Ouh admin ni yg mcm admin ws tu ke	in
221620232	harrierputih	Harrier Putih	I just want to say one thing ‘KAU MEMANG DASAR TAK KENANG BUDI’!!! @ Kuala Lumpur, Malaysia  https://t.co/GIwkIJHCxP	in
1247865561746268160	feezayusoff	Feeza	@shasharyzal Mampuih lambat 🥲 jangan esok tetiba diperhalusi lah apa lah sudah lahhh	in
42238274	aisharafiqa	Aisha Rafiqa	@nazirinkhrddn aannnddd peruntukan tu kononnya termasuk bagi tab pastu xtau pergi mana.. baik bagi duit kat rakyat beli sendiri. 33juta penduduk tu termasuk kanak2.. xyah le bagi budak2 hahahhaha i know this sound fool la kan idea i tu.. but letak peruntukan berbilion, end up?	in
485436509	aidaastar	aida dece	@501Awani 😡 bila nak taubat tu??	in
1191728611486769153	aiamdeen	imDeen الدين🇲🇾🇵🇸	@amer7211 Wajib bohong  https://t.co/baPXlYM3c5	in
33689470	aidilarazak	Aidila Razak	@are_rane @Edwinwkf Baiklah Cik/Encik. 👍	in
764021845	chaaaachoss	Chäa	Ikan talapia goreng, sambal udang &amp; mixed veggies ✅❤️	in
869352318	kucingkontot	🐈	@hqlshofi Bang qal…abang yg nakal..	in
350168769	ainolrafieq	aaaaapit	@nashuhaishak aku rasa diorang kene try training kt padang merah dulu, baru diorang tahu mcm mana hahah	in
421928354	kvlengvlv	ダワミ™ 🕊	@Jaa_ingg Xpasti bena.. aku bimbe saing² guno VPN untuk bendo ngarut.. battery health ni buke gapo sangat pun.. asal mu paka, battery tehe supo skalo tu gak xdok masaloh la.. percentage dio tu buke tepat	in
53685975	syuhadaroslan	Syuhada R #FREEPALESTINE 🇲🇾🇵🇸	Teringat cempedak goreng kt penang tu arrrr sedapnyaa	in
2899814280	nick6ty8	#KitaMintaLima🖐🏻 ニッ アザハン ™	@hudasalleh2565 @TokJoeMY Makanan org Perak nih	in
