order	sequence	thai	phonetic	description	short-description	set	level
3716	16	(เป็น)เขตหวงห้าม FORMAL	bpen	kèet hǔang-hâam (It's a) restricted area.  	kèet hǔang-hâam (It's a) restr		
3717	17	แต่เพียงผู้เดียว SEMI-LITERARY dtɛ̀ɛ piang pûu-diao	The	one and only. / He and he alone. 	one and only. / He and he alon		
3718	18	ไม่ยอมรับความจริงเลย mâi yɔɔm-ráp kwaam-jing ləəi	He	won't accept the truth. / (He) doesn't face the facts. / (He)'s in denial.  	won't accept the truth. / (He)		
3719	19	ไอ้(คน)เนรคุณ STRONG/VULGAR âi	kon	nee-rá-kun You ungrateful son-of-a-bitch! 	nee-rá-kun You ungrateful son-		
3720	20	จะเป็นอะไรไป STRONG/ANGRY jà bpen-à-rai bpai What's wrong with that?! / What's the matter with that?! 					
3721	1	ผมจำได้ดี pǒm jam dâi dii I remember it well. 	Super Useful Expressions, Part 186  	low-intermediate level	low-intermediate level		
3722	2	(มัน)ไม่ใช่ความผิดของคุณ	man	mâi-châi kwaam-pìt kɔ̌ɔng-kun It's not your fault.  	mâi-châi kwaam-pìt kɔ̌ɔng-kun 		
3723	3	หมายถึงใคร mǎai-tʉ̌ng krai Who do you mean? / Who are you talking about?  					
3724	4	ลงมาเดี๋ยวนี้(เลย) long maa dǐao-níi	ləəi	Come down right now! (situation: boy climbed up a tree, etc.) 	Come down right now! (situatio		
3725	5	ไม่ใช่ของผม mâi-châi kɔ̌ɔng pǒm It's not mine. / That's not mine.  					
3726	6	ถูกขโมยไป(แล้ว) tùuk kà-mooi bpai	lɛ́ɛo	It was stolen.  	It was stolen.  		
3727	7	เมื่อคืน(ผม)ฝันร้าย mʉ̂a-kʉʉn	pǒm	fǎn-ráai Last night I had a nightmare. / I had a bad dream last night.  	fǎn-ráai Last night I had a ni		
3728	8	แต่งตัวเสร็จหรือยัง dtɛ̀ng-dtua sèt-rʉ̌ʉ-yang Are you done getting dressed yet? / Are you dressed yet?  					
3729	9	ไม่เจอเลย mâi jəə ləəi I haven't seen her. / I haven't found it. 					
3730	10	ไปเจอที่ไหน bpai jəə tîi-nǎi Where did you find her/it? 					
3731	11	ผมแค่ไม่เข้าใจว่า... pǒm kɛ̂ɛ mâi-kâo-jai wâa... I just don't understand...  					
3732	12	มีสิทธิ์อะไร(...) mii sìt à-rai	...	What right do (you) have (...)?  	What right do (you) have (...)		
3733	13	ฉันไม่ดีพอ(...) chǎn mâi dii pɔɔ	...	I'm not good enough (...)  	I'm not good enough (...)  		
3734	14	ชอบใครมากกว่ากัน chɔ̂ɔp krai mâak-gwàa gan Who do you like better? / Who do you prefer? 					
3735	15	พวกเขาทำอะไรกัน pûak-kǎo tam à-rai gan What are they doing?  					
3736	16	ฉันรู้ว่ามันยาก chǎn rúu-wâa man yâak I know it's hard.  					
3737	17	ฉันจะเล่าให้ฟัง chǎn jà lâo-hâi-fang I'll tell you	about it	. 	. 		
3738	18	ทำไมต้องโกรธด้วย tam-mai dtɔ̂ng gròot dûai Why are you angry? / Why are you angry at me?  					
3739	19	เขาไม่สงสัยอะไร(เลย) kǎo mâi sǒng-sǎi à-rai	ləəi	She didn't suspect anything (at all). / He doesn't suspect anything.  	She didn't suspect anything (a		
3740	20	ขอกอดหน่อย kɔ̌ɔ gɔ̀ɔt nɔ̀i May/Can I have a hug? 					
3741	1	กินรองท้อง(ก่อน) gin rɔɔng-tɔ́ɔng	gɔ̀ɔn	Have a bite to eat. / Have a snack to tide you over. 	Have a bite to eat. / Have a s	Super Useful Expressions, Part 187 	high-intermediate level
3742	2	มันต่างกันอย่างไร man dtàang-gan yàang-rai How are they different? / What's the difference?  					
3743	3	เพิ่งเจอกันวันแรก pə̂ng jəə-gan wan rɛ̂ɛk	We	only just met today. / We just met each other today. 	only just met today. / We just		
3744	4	(จัด)เรียงตามตัวอักษร	jat	-riang dtaam-dtua-àk-sɔ̌ɔn (It)'s arranged alphabetically. / (It)'s in alphabetical order.  	-riang dtaam-dtua-àk-sɔ̌ɔn (It		
3745	5	โปรดเมตตาด้วย LITERARY bpròot mêet-dtaa dûai Be merciful to me! / Please have mercy!  					
3746	6	ไม่เหลือใครแล้ว mâi-lʉ̌a krai lɛ́ɛo I have no one left!	I'm all alone now.				
3747	7	ปาฏิหาริย์มีจริง bpaa-dtì-hǎan mii jing Miracles happen. / Miracles are for real.  					
3748	8	มันยังน้อยไป man yang nɔ́ɔi bpai That's an understatement! / It's not enough!  					
3749	9	ต้องโดนตี dtɔ̂ng doon dii	You	need to be spanked!  	need to be spanked!  		
3750	10	รู้แต่ว่า... rúu dtɛ̀ɛ wâa... All I know is... / I only know that...  					
3751	11	ฉันได้ยินเขาพูดว่า... chǎn dâi-yin kǎo pûut wâa... I heard her say	that	...  	...  		
3752	12	ถ้า(เขา)เป็นอะไรไป... tâa	kǎo	bpen à-rai bpai... If something happens to him... / If something happened to him... / If anything  should happen to her...  	bpen à-rai bpai... If somethin		
3753	13	เห็นด้วยหรือไม่เห็นด้วยกับ... hěn-dûai rʉ̌ʉ mâi-hěn-dûai gàp...Agree or disagree with...  					
3754	14	ยังสามารถใช้... FORMAL yang sǎa-mâat chái...	You	can also use (it with)... 	can also use (it with)... 		
3755	15	เขาไม่เคยลืมเลย kǎo mâi-kəəi lʉʉm ləəi He's never forgotten. / He never forgets.  					
3756	16	เงียบจังเลย ไปไหนกันหมด ngîap jang ləəi bpai-nǎi gan mòt It's so quietwhere is everyone?!  					
3757	17	(แล้ว)จะเอา(ยัง)ไงต่อ	lɛ́ɛo	jà ao (yang) ngai dtɔ̀ɔ What are you gonna do next?  	jà ao (yang) ngai dtɔ̀ɔ What a		
3758	18	(มันร้อน)เหมือนจะระเบิด	man rɔ́ɔn	mʉ̌an jà rá-bə̀ət (I'm so hot I feel) like I'm gonna explode.  	mʉ̌an jà rá-bə̀ət (I'm so hot 		
3759	19	ใครๆก็เรียกว่า(ลุง) krai-krai gɔ̂ɔ rîak wâa	lung	Everyone calls him ('Uncle').  	Everyone calls him ('Uncle'). 		
3760	20	แน่นอนอยู่แล้ว nɛ̂ɛ-nɔɔn yùu lɛ́ɛo Absolutely! / Of course! 					
3761	1	ฉัน(จะ)ไปเป็นเพื่อน chǎn	jà	bpai bpen-pʉ̂an I'll go with you. / I'll go with you and keep you company. / I'll accompany you. 	bpai bpen-pʉ̂an I'll go with y	Super Useful Expressions, Part 188  	low-intermediate level
3762	2	กำลังแต่งตัวอยู่ gam-lang dtɛ̀ng-dtua yùu She's getting dressed.  					
3763	3	ยังไม่เสร็จหรือ yang mâi sèt rʉ̌ʉ Aren't you finished yet? / Isn't it done yet? 					
3764	4	อยู่ด้วยกันไม่ได้ yùu dûai-gan mâi-dâi We can't live together. / We can't be together.  					
3765	5	จะไปทำอะไรที่นั่น jà bpai tam à-rai tîi nân What are	you	gonna do there?  	gonna do there?  		
3766	6	ผม(จะ)ไม่ยอมแพ้ pǒm	jà	mâi yɔɔm-pɛ́ɛ I won't give up! / I'm not giving up!  	mâi yɔɔm-pɛ́ɛ I won't give up!		
3767	7	เธอไม่ยอมช่วย təə mâi yɔɔm chûai She wouldn't help me. / She won't help me.  					
3768	8	ผมเป็นญาติ(ของ)เขา pǒm bpen yâat	kɔ̌ɔng	kǎo I'm his relative. / I'm related to her.  	kǎo I'm his relative. / I'm re		
3769	9	ห้ามเข้าใกล้ hâam kâo glâi Don't come near. / Keep away.  					
3770	10	ผมมีแผนที่จะ... pǒm mii pɛ̌ɛn tîi-jà... I have a plan to... / I had a plan to...  					
3771	11	ฟังดูเหมือน... fang duu mʉ̌an... It sounds like... / You sound like...  					
3772	12	(ขอ)ถามได้ไหม(คะ)...	kɔ̌ɔ	tǎam dâi-mǎi (ká)... May I ask...? / Can I ask...?  	tǎam dâi-mǎi (ká)... May I ask		
3773	13	ถ้าใครโทรมา... tâa krai too-maa... If anyone calls...  					
3774	14	อย่า(มา)ดูถูกฉัน yàa	maa	duu-tùuk chǎn Don't look down on me! / Don't belittle me! / Don't insult me! 	duu-tùuk chǎn Don't look down 		
3775	15	(แฟน)ไม่เคยบอกรัก	fɛɛn	mâi-kəəi bɔ̀ɔk rák (My boyfriend) has never told me he loves me. 	mâi-kəəi bɔ̀ɔk rák (My boyfrie		
3776	16	นั่นยังไม่ดีพอ nân yang mâi dii-pɔɔ That's	still	not good enough.  	not good enough.  		
3777	17	ไม่มีเหตุผลที่ดี mâi-mii hèet-pǒn tîi dii There's no good reason. / There isn't a good reason.  					
3778	18	คุณไม่ควรท kun mâi-kuan tam You shouldn't	do it	.  	.  		
3779	19	มันสายไปแล้ว man sǎai bpai lɛ́ɛo It's too late.  					
3780	20	ผมเป็นกำลังใจให้ pǒm bpen-gam-lang-jai-hâi I'm rooting for you! / I'm behind you all the way. / You have my full support. / You have my backing.  					
3781	1	มันคงเป็นกรรมของฉัน man kong bpen gam kɔ̌ɔng chǎn It must be my fate/karma. 	Super Useful Expressions, Part 189  	high-intermediate level	high-intermediate level		
3782	2	ขอโทษแทนเขาด้วย(ครับ) kɔ̌ɔ-tôot tɛɛn kǎo dûai	kràp	I apologize for her. / I apologize on her behalf.  	I apologize for her. / I apolo		
3783	3	เขามอบตัวแล้ว kǎo mɔ̂ɔp-dtua lɛ́ɛo He turned himself in. / He surrendered.  					
3784	4	ฉันจะไปตาม(หมอ) chǎn jà bpai dtaam	mɔ̌ɔ	I'll go and find (a doctor). / I'll go and see if I can find (a doctor).  	I'll go and find (a doctor). /		
3785	5	เขาพลัดตกลงไปใน(คลองน้ำเสียชีวิต) kǎo plát dtòk-long bpai nai	klɔɔng nám sǐa-chii-wít	He slipped and fell into (the canal and died). / He tripped and fell into (the canal  and died). 	He slipped and fell into (the 		
3786	6	หลบไป STRONG lòp bpai Move! / Get out of my way! / Move over!  					
3787	7	ลูกแม่ lûuk mɛ̂ɛ My son! / My boy!	from a mother's perspective				
3788	8	ลูกพ่อ lûuk pɔ̂ɔ My son! / My boy!	from a father's perspective				
3789	9	ก้าวไปข้างหน้า gâao bpai kâang-nâa Move forward. / Get ahead.  					
3790	10	จะเห็นได้ว่า... SEMI-FORMAL jà hěn dâi wâa... You can see	that	... / It can be seen (that)...  	... / It can be seen (that)...		
3791	11	เป็นวิธีเดียวที่จะ... bpen wí-tii diao tîi-jà... It's the only way to...  					
3792	12	มัน(ก็)คล้ายกับ... man	gɔ̂ɔ	kláai-gàp... It's similar to... / It's like...  	kláai-gàp... It's similar to..		
3793	13	ไม่ว่าจะทำอะไร... mâi-wâa jà tam à-rai... No matter what	you	do...  	do...  		
3794	14	เราควรให้เวลา... rao kuan hâi wee-laa We should give	her	some time... 	some time... 		
3795	15	อดเป็นห่วง(เขา)ไม่ได้ òt bpen-hùang	kǎo	mâi-dâi I can't help but worry (about him). / I couldn't help worrying (about him).  	mâi-dâi I can't help but worry		
3796	16	ฉันเป็นพยานได้ chǎn bpen pá-yaan dâi I can attest to that. / I witnessed it.  					
3797	17	ค่อยๆคุยกัน kɔ̂i-kɔ̂i kui gan Let's settle down and talk calmly. / Let's talk it over calmly. 					
3798	18	ชอบแบบไหนมากกว่ากัน chɔ̂ɔp bɛ̀ɛp-nǎi mâak-gwàa gan Which one do you prefer? / Which style do you like better?  					
3799	19	ใครก็ได้ช่วยที krai-gɔ̂ɔ-dâi chûai tii Someone help me! / Help meanyone!  					
3800	20	ผมเสียใจกับสิ่งที่เกิดขึ้น pǒm sǐa-jai gàp sìng tîi gə̀ət-kʉ̂n I'm sorry for what happened. 					
3801	1	ไม่มีทางอื่นแล้วหรือ mâi-mii taang ʉ̀ʉn lɛ́ɛo rʉ̌ʉ Is there no other way? / Isn't there any other way? 	Super Useful Expressions, Part 190  	high-intermediate level	high-intermediate level		
3802	2	ทำดีกับผู้อื่น tam-dii-gàp pûu-ʉ̀ʉn Be nice/good to others.  					
3803	3	คุณรู้ว่าคุณกำลังทำอะไรอยู่ kun rúu-wâa kun gam-lang tam à-rai yùu Do you know what you're doing?  					
3804	4	(อยู่กับเพื่อน)มีความสุขที่สุดแล้ว	yùu gàp pʉ̂an	mii-kwaam-sùk tîi-sùt lɛ́ɛo I'm so happy (when I'm with my friends). / I'm the happiest (when I'm with my  friends).  	mii-kwaam-sùk tîi-sùt lɛ́ɛo I'		
3805	5	ผมไม่เก่งขนาดนั้น pǒm mâi gèng kà-nàat-nán I'm not that good/skilled.  					
3806	6	เราควรจะทำอย่างไร(ดี) SEMI-FORMAL/LITERARY rao kuan-jà tam  yàang-rai	dii	What should I do? / What am I supposed to do?  	What should I do? / What am I 		
3807	7	เราไม่อดตาย rao mâi òt-dtaai We're not gonna starve to death. / We're not starving to death. 8) มาอยู่เป็นเพื่อน maa yùu bpen-pʉ̂anI've come to keep you company.  					
3808	9	ผมจะขึ้นไปข้างบน pǒm jà kʉ̂n bpai kâang-bon I'm gonna go upstairs.  					
3809	10	กำลังมุ่งหน้าไป(ยัง/ที่)... gam-lang mûng-nâa bpai	yang/tîi	... (They)'re heading for/to...  	... (They)'re heading for/to..		
3810	11	(...)จะไม่เสียเปล่า	...	jà mâi sǐa-bplàao (It) won't be wasted. / (It) won't be a waste. / (It) won't be in vain.  	jà mâi sǐa-bplàao (It) won't b		
3811	12	ใครอนุญาตให้... krai à-nú-yâat hâi... Who authorized you to... ? / Who gave you permission to... ?  					
3812	13	เขาหันมาหา(ฉัน)แล้วถามว่า... kǎo hǎn-maa-hǎa	chǎn	lɛ́ɛo tǎam wâa... He turned to me and asked...  	lɛ́ɛo tǎam wâa... He turned to		
3813	14	อย่ามากล่าวหา(ว่า...) yàa maa glàao-hǎa	wâa...	Don't accuse me (of...) 	Don't accuse me (of...) 		
3814	15	(เรา)หลงเข้าไปในป่า	rao	lǒng kâo-bpai nai bpàa (We) got lost in the forest/woods. 	lǒng kâo-bpai nai bpàa (We) go		
3815	16	ผมจะให้โอกาส(คุณ)เป็นครั้งสุดท้าย pǒm jà hâi-oo-gàat	kun	bpen  kráng-sùt-táai I'm going to give (you) one last chance.  	bpen  kráng-sùt-táai I'm going		
3816	17	โดนไล่ออก(มา) doon lâi-ɔ̀ɔk	maa	He was kicked out. / He was fired.  	He was kicked out. / He was fi		
3817	18	ฉัน(จะ)ไปเอาเอง chǎn	jà	bpai ao eeng I'll get it (myself). / I'll go get it (myself).  	bpai ao eeng I'll get it (myse		
3818	19	หนูจะพยายามเข้มแข็ง nǔu jà pá-yaa-yaam kêm-kɛ̌ng I'll try to be strong.  					
3819	20	บ้าไปใหญ่แล้ว STRONG bâa bpai yài lɛ́ɛoThat's insane! / This is crazy! / You're crazy! 					
3820	1	เราไม่ได้เจอกันกี่(ปี)แล้ว rao mâi-dâi jəə gan gìi	bpii	lɛ́ɛo How many (years) has it been since we've seen each other? 	lɛ́ɛo How many (years) has it 	Super Useful Expressions, Part 191  	high-intermediate level
3821	2	เราคบกันมาห้าปีแล้ว rao kóp-gan maa	hâa	bpii lɛ́ɛo We've been dating/seeing each other for (5 years).  	bpii lɛ́ɛo We've been dating/s		
3822	3	รายได้ดีไหมคะ raai-dâai dii mǎi ká Is the income/pay good?  					
3823	4	(ขาย)ให้เท่าไหร่ INFORMAL	kǎai	hâi tâo-rài How much do you want for it? (shopping on the street) 	hâi tâo-rài How much do you wa		
3824	5	เหล้าไม่กิน บุหรี่ไม่สูบ lâo mâi gin bù-rìi mâi sùup	He	doesn't drink or smoke.  Note: เหล้า (lâo) and บุหรี่ (bù-rìi) are moved to the front for emphasis here.  This is also commonly said as ไม่กินเหล้า ไม่สูบบุหรี่ (mâi gin lâo mâi gin bù-rìi). 	doesn't drink or smoke.  Note:		
3825	6	เคยไปแค่ครั้งเดียว kəəi bpai kɛ̂ɛ kráng-diao I've only been once	before	.  	.  		
3826	7	ทำไมถึงอยากอยู่(เมืองไทย) tam-mai tʉ̌ng yàak yùu	mʉang-tai	Why do/did you want to live in (Thailand)?  	Why do/did you want to live in		
3827	8	ทำเองกับมือ tam-eeng gàp mʉʉ I made it myself. / I made it with my own two hands. / It's homemade.  					
3828	9	ผมเชื่อว่าอย่างนั้น pǒm chʉ̂a wâa yàang-nán I believe so. / I believe that('s the case). 					
3829	10	จะให้ไปส่งไหม jà hâi bpai sòng mǎi Do you want me to take you home/give you a lift/drop you off/see you off?  					
3830	11	เล่าให้ฟังหน่อยได้ไหม(คะ) lâo-hâi-fang nɔ̀i dâi-mǎi	ká	Can you tell me (about it)?  	Can you tell me (about it)?  		
3831	12	ไม่คิดว่าจะเจอพี่ mâi kít wâa jà jəə pîi I didn't expect to see you. / I didn't think I would meet you	here	. 	. 		
3832	13	จะโมโหทำไม jà moo-hǒo tam-mai Why are you so mad? / Why did you get so pissed off?  					
3833	14	เรามาถูกทางหรือเปล่า rao maa tùuk taang rʉ̌ʉ-bplàao Are we going the right way?	possibly lost, driving, etc.				
3834	15	ผมว่าเรากลับดีกว่า pǒm wâa rao glàp dii-gwàa I think we should go back/return.  					
3835	16	มันน่าจะอยู่แถว(ๆ)นี้ man nâa-jà yùu tɛ̌ɛo(tɛ̌ɛo) níi It should be around/near here. 					
3836	17	ต้องเสียค่าธรรมเนียม dtɔ̂ng sǐa kâa-tam-niam You have to pay a fee/charge.	for a credit card, etc.				
3837	18	มันเป็นชะตากรรมของฉัน man bpen chá-dtaa-gam kɔ̌ɔng chǎn It's my fate/destiny.  					
3838	19	ฉันจะไม่ไปไหนทั้งนั้น EMPHASIS chǎn jà mâi bpai nǎi táng-nán I'm not going anywhere!  					
3839	20	ผมเพิ่งรู้ pǒm pə̂ng rúu I just	now	found out. / That's news to me!  	found out. / That's news to me		
3840	1	มันสะดวก man sà-dùak It's convenient. 	Super Useful Expressions, Part 192  	high-beginner level	high-beginner level		
3841	2	จำเป็นไหม jam-bpen mǎi Is it/that necessary?  					
3842	3	มันเป็นของคุณ man bpen kɔ̌ɔng kun It's yours.  					
3843	4	มันไม่ใช่ของผม man mâi-châi kɔ̌ɔng pom It's not mine.  					
3844	5	ขอบคุณสำหรับ(เค้ก)(นะคะ) kɔ̀ɔp-kun sǎm-ràp	kéek	(ná-ká) Thank you for (the cake).  	(ná-ká) Thank you for (the cak		
3845	6	ไม่มีคนเลย mâi-mii kon ləəi There's no one	here	at all. / It's dead.  	at all. / It's dead.  		
3846	7	มีลูกกี่คนครับ mii lûuk gìi kon kráp How many kids/children do you have?  					
3847	8	เราเป็นเพื่อนบ้าน(กัน) rao bpen pʉ̂an-bâan	gan	We're neighbors.  	We're neighbors.  		
3848	9	มีแมว(สอง)ตัว mii mɛɛo	sɔ̌ɔng	dtua (I) have (two) cats.  	dtua (I) have (two) cats.  		
3849	10	เลี้ยวขวา líao kwǎa Turn right.  					
3850	11	เลี้ยวซ้าย líao sáai Turn left.  					
3851	12	อยู่(ตรง)หัวมุม yùu	dtrong	hǔa-mum It's (right) on the corner. 	hǔa-mum It's (right) on the co		
3852	13	(...)อยู่ซ้ายมือ	...	yùu sáai-mʉʉ It's on the left. / It's to the left.  	yùu sáai-mʉʉ It's on the left.		
3853	14	(...)อยู่ขวามือ	...	yùu kwǎa-mʉʉ It's on the right. / It's to the right. 	yùu kwǎa-mʉʉ It's on the right		
3854	15	(กำลัง)ขับรถอยู่	gam-lang	kàp-rót yùu (I)'m driving.  	kàp-rót yùu (I)'m driving.  		
3855	16	นั่งรถเมล์มา nâng rót-mee maa	I	came by bus. / (I) took the bus.  	came by bus. / (I) took the bu		
3856	17	เบื่อไหม(คะ) bʉ̀a mǎi	ká	Do you get bored? / Are you bored?  	Do you get bored? / Are you bo		
3857	18	รอฉันก่อน(นะ) rɔɔ chǎn gɔ̀ɔn	ná	Wait for me.  	Wait for me.  		
3858	19	ไม่ร้อนหรือ(คะ) mâi rɔ́ɔn rʉ̌ʉ	ká	Aren't you hot?  	Aren't you hot?  		
3859	20	ยังไม่เปิด yang mâi bpə̀ət It's not open yet. / We're not open yet. 					
3860	1	เจอกันได้ยังไงคะ jəə gan dâi yang-ngai ká How did you	two	meet? 	meet? 	Super Useful Expressions, Part 193 	high-intermediate level
3861	2	เรื่องจิ๊บๆ rʉ̂ang jíp-jíp It's no biggie. / It's no big deal. / It's really easy. / It's a piece of cake.  					
3862	3	พ่อแม่เสียหมดแล้ว pɔ̂ɔ-mɛ̂ɛ sǐa mòt lɛ́ɛo His parents passed away. / She lost both of her parents. 					
3863	4	แก่กว่าฉันอีก INFORMAL gɛ̀ɛ-gwàa chǎn ìik	He	's older than me. / (He)'s even older than I am.  	's older than me. / (He)'s eve		
3864	5	ไม่ได้เจอมาเป็น(เดือน)แล้ว mâi-dâi jəə maa bpen	dʉan	lɛ́ɛo I haven't seen one/him for (a month). / It's been (a month) since I've seen one/him.  	lɛ́ɛo I haven't seen one/him f		
3865	6	ผู้ที่ได้รับผลกระทบ(จาก COVID-19) pûu tîi dâi-ráp-pǒn-grà-tóp	jàak koo-wít síp-gâao	Those affected/impacted (by Covid-19).  	Those affected/impacted (by Co		
3866	7	ได้รับผลกระทบไหม(ครับ) dâi-ráp-pǒn-grà-tóp mǎi	kráp	Where you impacted/affected?  	Where you impacted/affected?  		
3867	8	คุณเป็นเจ้าของที่นี่หรือ kun bpen jâo-kɔ̌ɔng tîi-nîi rʉ̌ʉ Do you own this place? / Are you the owner of this place? / Are you the owner?  					
3868	9	ไม่สบายรึเปล่า mâi-sà-baai rʉ́-bplàao Are you sick	or what	? / Is she okay?  	? / Is she okay?  		
3869	10	คุณไม่เคยสนใจฉัน kun mâi-kəəi sǒn-jai chǎn You never pay any attention to me. / You never show any interest in me.  					
3870	11	อีกสักพักจะกลับ(แล้ว) ìik-sàk-pák jà glàp	lɛ́ɛo	(I)'m gonna go back (home) in a bit. / In a bit, (I)'m gonna go back.  	(I)'m gonna go back (home) in 		
3871	12	ต้องเก็บรักษาไว้ให้ดี dtɔ̂ng gèp-rák-sǎa wái hâi-dii You have to take good care of it.	an old antique, a password, etc.				
3872	13	คงไม่ใช่แล้ว(ล่ะ) kong mâi-châi lɛ́ɛo	lâ	Probably not. / I guess not. / Not anymore. (said when something turns out  differently than one had expected) 	Probably not. / I guess not. /		
3873	14	อายุเยอะแล้ว aa-yú yə́ lɛ́ɛo	He	's old (already).	's old (already).		
3874	15	เมื่อไหร่จะเลิกเรียกผมว่า(ลุง)(ซักที) MILDLY IRRITATED mʉ̂a-rài jà lə̂ək rîak pǒm wâa	lung	(sák-tii) When are you gonna stop calling me 'Uncle'?!  	(sák-tii) When are you gonna s		
3875	16	ผม(ไป)พูดตอนไหน IRRITATED/ROUGH pǒm	bpai	pûut dtɔɔn-nǎi When did I say that?!  	pûut dtɔɔn-nǎi When did I say 		
3876	17	เชิญด้านในได้เลยค่ะ FORMAL chəən dâan-nǎi dâi ləəi kà Come in and have a look. / Welcomehave a look inside.  					
3877	18	(ราคา)ถูกเหลือเชื่อ	raa-kaa	tùuk lʉ̌a-chʉ̂a It's incredibly cheap! / The price is unbelievably low!  	tùuk lʉ̌a-chʉ̂a It's incredibl		
3878	19	จะหาเงินจากไหน INFORMAL jà hǎa ngən jàak nǎi Where am I gonna get the money?!  					
3879	20	ผมทำงานอยู่ต่างจังหวัด pǒm tam-ngaan yùu dtàang-jang-wàt I work in another province. 					
3880	1	บรรยากาศดี ban-yaa-gàat dii Nice atmosphere! / The atmosphere is nice. 	Super Useful Expressions, Part 194  	low-intermediate level	low-intermediate level		
3881	2	ฉันไม่ดื่มเหล้า chǎn mâi dʉ̀ʉm lâo I don't drink.  					
3882	3	ยังแข็งแรง yang kɛ̀ng-rɛɛng It's still in good shape. / He's still strong.  					
3883	4	เหมือนเดิมครับ mʉ̌an-dəəm kráp I'll have the same as usual. / Same as before. / My usual.	when ordering your  regular coffee order at a cafe, etc.				
3884	5	คุณจะรออะไร kun jà rəə à-rai What are you waiting for?!	suggesting you should go ahead and do it				
3885	6	ต้องรีบตัดสินใจ dtɔ̂ng rîip dtàt-sǐn-jai We have to hurry and make a decision. / I have to hurry and decide.  					
3886	7	สถานีนี้ชื่อ(ว่า)อะไร sà-tǎan-nii níi chʉ̂ʉ	wâa	à-rai What's the name of this (train) station?  	à-rai What's the name of this 		
3887	8	ขอกอดทีหนึ่ง kɔ̌ɔ gɔ̀ɔ tii nʉ̀ng Give me a hug.  					
3888	9	ยังไม่ได้บอก(เลย) yang mâi-dâi bɔ̀ɔk	ləəi	I haven't told you yet. / He didn't tell me yet.  	I haven't told you yet. / He d		
3889	10	ใช้เวลาแค่(5 นาที)(เอง) chái-wee-laa kɛ̂ɛ	hâa naa-tii	(eeng) It only takes (5 minutes). / It takes just (5 minutes).  	(eeng) It only takes (5 minute		
3890	11	ขอดูอันนี้ได้ไหมครับ kɔ̌ɔ duu an-níi dâi-mǎi kráp May I see this one? / Can I see this one?	at a store				
3891	12	หน้าคุ้นจัง nâa kún jang She sure looks familiar!  					
3892	13	(มัน)กว้างใหญ่มาก	man	gwâang-yài mâak It's immense/vast/massive/enormous.  	gwâang-yài mâak It's immense/v		
3893	14	แค่นั้นเองเหรอ kɛ̂ɛ-nán eeng rə̌ə Is that it? / Is that all? 					
3894	15	จับไว้ jàp wái Grab it. / Hold it. / Hold him. / Hold on.  					
3895	16	เกิดวันที่เท่าไหร่ gə̀ət wan-tîi tâo-rài What day were you born on? 					
3896	17	ไม่ค่อยมีนะ mâi-kɔ̂i mii ná Not so much. / Not so many.  					
3897	18	ผมโกรธตัวเอง pǒm gròot dtua-eeng I'm angry at/with myself.  					
3898	19	ฉันหลงทาง chǎn lǒng-taang I'm lost. / I've lost my way.  					
3899	20	น่าทานมาก(ค่ะ) SEMI-FORMAL nâa-taan mâak	kà	It/that looks really delicious! 	It/that looks really delicious		
3900	1	เดี๋ยวตบปาก ANGRY dǐao dtòp bpàak I'm gonna smack you! 	Super Useful Expressions, Part 195  	low-advanced level	low-advanced level		
3901	2	อย่าอยู่ห่าง(จาก)(ฉัน) yàa yùu hàang	jàak	chǎn Stay close to (me).  	chǎn Stay close to (me).  		
3902	3	(ผม)อยู่ในเหตุการณ์ SEMI-FORMAL	pǒm	yùu nai hèet-gaan (I) was at the scene. / (I) was there when it happened. / (I) was there when the  incident took place. 	yùu nai hèet-gaan (I) was at t		
3903	4	ต้องคิดทบทวนให้ดี SEMI-FORMAL dtɔ̂ng kít-tóp-tuan hâi-dii	You	have to think it over carefully.  	have to think it over carefull		
3904	5	ทำให้เกิดความขัดแย้ง tam-hâi gə̀ət kwaam-kàt-yɛ́ɛng	It	causes/creates a conflict.  	causes/creates a conflict.  		
3905	6	จะได้ไม่ต้อง(รอ) jà-dâi-mâi-dtɔ̂ng	rɔɔ	So you won't/wouldn't have to (wait). 	So you won't/wouldn't have to 		
3906	7	ผมไม่ได้มีเจตนาที่จะ(แหกคุกหนี) FORMAL/LITERARY pǒm mâi-dâi mii  jèet-dtà-naa tîi-jà	hɛ̀ɛk-kúk nǐi	I had no intention (of escaping from prison). / I wasn't trying to (escape).  	I had no intention (of escapin		
3907	8	แกจะต้องชดใช้ STRONG/ANGRY gɛɛ jà dtɔ̂ng chót-chái You'll pay for this! 					
3908	9	จะต้องไม่ตาย jà dtɔ̂ng mâi dtaai You're not gonna die! / You can't die!  					
3909	10	คิดไม่ถึงเลยว่า... kít-mâi-tʉ̌ng ləəi wâa... I had no idea that... / I didn't think that... / I couldn't imagine that...	used when  something unexpected happens				
3910	11	แต่ต่างกันตรงที่... dtɛ̀ɛ dtàang-gan dtrong-tîi...	It	's different in that... / The difference is...  	's different in that... / The 		
3911	12	มีพระราชโองการ(...) ROYAL mii prá-râat-chá-oong-gaan	...	By the King's royal order (...) / By His Majesty's order... 	By the King's royal order (...		
3912	13	มีบุญจริงๆที่... SEMI-LITERARY mii bun jing-jing tîi...	You	're really blessed/lucky to...  	're really blessed/lucky to...		
