sequence|thai|phonetic|description|desc-short|set|level|
6|(มัน)ไม่ซับซ้อน|man|mâi sáp-sɔ́ɔn It's simple. / It's not complicated. / It's straightforward. |mâi sáp-sɔ́ɔn It's simple. / I|||
7|เป็นเรื่องธรรมดา|bpen rʉ̂ang tam-má-daa|It's common. / It's normal. / It's natural.  |It's common. / It's normal. / |||
8|ไม่ธรรมดา|mâi tam-má-daa|(It's) uncommon/unusual/peculiar/strange.  |(It's) uncommon/unusual/peculi|||
9|ไม่ได้มีแค่(ผม) mâi-dâi mii kɛ̂ɛ|pǒm|It's not only (me).  |It's not only (me).  |||
10|ไม่มีอะไรมาก|mâi mii à-rai mâak|Nothing much. / It's nothing (much).  |Nothing much. / It's nothing (|||
11|ดีใจด้วย INFORMAL|dii-jai dûai|Congrats!  |Congrats!  |||
12|ลองอีกครั้ง(สิ) lɔɔng ìik-kráng|sì|Try (it) again. |Try (it) again. |||
13|ฉันภูมิใจในตัว(เขา)มาก chǎn puum-jai nai dtua|kǎo|mâak I'm so proud of (him)!  |mâak I'm so proud of (him)!  |||
14|ฉันตื่นเต้นแทน(คุณ)(จริงๆ) chǎn dtʉ̀ʉn-dtên tɛɛn|kun|(jing-jing) I'm (so) excited for you! Note: แทน (tɛɛn) means 'in place of' or 'instead of'.  |(jing-jing) I'm (so) excited f|||
15|ได้เวลาเสียที / ได้เวลา... เสียที|dâi wee-laa sǐa-tii / dâi wee-laa... sǐa-tii|About time! / It's about time (you)... !  Note: เสียที (sǐa-tii) can be replaced with ซะที (sá-tii) to make it more casual. |About time! / It's about time |||
16|ไม่ต้องพูดถึง|...|mâi-dtɔ̂ng pûut-tʉ̌ng (...)  Don't mention it. / No need to talk about that. / No need to talk about... |mâi-dtɔ̂ng pûut-tʉ̌ng (...)  D|||
17|เขาเสียชีวิตด้วย(โรคมะเร็ง) FORMAL/LITERARY kǎo sǐa-chii-wít dûai|rôok má-reng|He died of (cancer). / He passed away from (cancer).  |He died of (cancer). / He pass|||
18|มันดึงดูดความสนใจ|man dʉng-dùut kwaam-sǒn-jai|It grabs your attention/interest.  Note: ดึงดูด (dʉng-dùut) means attract, draw in, or allure.  |It grabs your attention/intere|||
19|เต็มไปด้วย...|dtem-bpai-dûai...|filled with... / full of... / loaded with... |filled with... / full of... / |||
20|อย่ายอมแพ้|yàa yɔɔm-pɛ́ɛ|Don't give up.  |Don't give up.  |||
1|จะพูดว่าอย่างไรดี|jà pûut wâa yàang-rai dii|What should I say? / How should I say it?  |What should I say? / How shoul|Super Useful Short Expressions, Part 29  |low-intermediate level|
2|ไม่รู้จะพูดว่าอย่างไร|mâi-rúu jà pûut wâa yàang-rai|(I) don't know what to say. / I didn't know what to say.  |(I) don't know what to say. / |||
3|ยากที่จะอธิบาย / อธิบายยาก|yâak tîi jà à-tí-baai / à-tí-baai yâak|It's difficult to explain.  |It's difficult to explain.  |||
4|(...)อะไรอย่างนี้ INFORMAL|à-rai yàang-níi|Something like that. / ...something like that.  |Something like that. / ...some|||
5|(ก็)ไม่เชิง|gɔ̂ɔ|mâi-chəəng Not really. / Not exactly.  |mâi-chəəng Not really. / Not e|||
6|ไม่ได้หมายความว่า...|mâi-dâi mǎai-kwaam wâa...|That/it doesn't mean (that)...  |That/it doesn't mean (that)...|||
7|ไม่ใช่(ค่ะ) mâi-châi|kà|No (it's not.) / Wrong. / Incorrect. / I don't think so.  |No (it's not.) / Wrong. / Inco|||
8|ผม(ก็)ไม่เข้าใจอยู่ดี pǒm|gɔ̂ɔ|mâi-kâo-jai yùu-dii I still don't get it. / I still don't understand.  Note: อยู่ดี (yùu-dii) means still or anyway. |mâi-kâo-jai yùu-dii I still do|||
9|ฟังไม่รู้เรื่อง|fang mâi-rúu-rʉ̂ang|(I) can't understand at all (what s/he's saying).  |(I) can't understand at all (w|||
10|(มัน)ย่อมาจาก...|man|yɔ̂ɔ-maa-jàak... It's short for... / It stands for... (example: UN=United Nations)  |yɔ̂ɔ-maa-jàak... It's short fo|||
11|(มัน)ขึ้นอยู่กับ(ว่า)...|man|kʉ̂n-yùu-gàp (wâa)... It depends on...  |kʉ̂n-yùu-gàp (wâa)... It depen|||
12|ใช้เวลานานเท่าไหร่|chái-wee-laa naan tâo-rai|How long does it take?  |How long does it take?  |||
13|ต้องใช้เวลา|dtɔ̂ng chái-wee-laa|It takes time.  |It takes time.  |||
14|ใช้เวลานาน|chái-wee-laa naan|It takes a long time.  |It takes a long time.  |||
15|จะใช้เวลาอีกประมาณ|5 นาที|jà chái-wee-laa ìik bprà-maan (hâa naa-tii) It'll take about (|jà chái-wee-laa ìik bprà-maan |||
5|more (minutes).  ||||||
16|(มัน)ได้ผลจริงๆ|man|dâi-pǒn jing-jing It really works. / It really worked. / It was really effective.  |dâi-pǒn jing-jing It really wo|||
17|(...)เปลี่ยนอะไรไม่ได้|...|bplìan à-rai mâi-dâi (You) can't change anything. / (You) can't make a difference. / ...isn't gonna  change anything.  |bplìan à-rai mâi-dâi (You) can|||
18|ไม่ใช่เรื่องยาก|mâi-châi rʉ̂ang yâak|It's not (that) hard. / It's a piece of cake.  |It's not (that) hard. / It's a|||
19|ทำอย่างนั้นทำไม|tam yàang-nán tam-mai|Why did you do that? / Why would you do that?  |Why did you do that? / Why wou|||
20|ฟังดูประหลาด|fang-duu bprà-làat|It sounds strange/weird/peculiar. |It sounds strange/weird/peculi|||
1|แน่นอน|nɛ̂ɛ-nɔɔn|Of course. / Sure. / Certainly.  |Of course. / Sure. / Certainly|Super Useful Short Expressions, Part 30  |high-beginner level|
2|มานี่|maa-nîi|Come here. / Come over here. Note: This is also used casually to mean 'Give it to me'.  |Come here. / Come over here. N|||
3|เร็วเข้า|reo-kâo|Come on! (hurry) / Hurry!  |Come on! (hurry) / Hurry!  |||
4|ช้าๆ|cháa-cháa|Slowly! / Slow down. |Slowly! / Slow down. |||
5|คุณชื่ออะไร(ครับ) kun chʉ̂ʉ à-rai|kráp|What's your name?  |What's your name?  |||
6|ผมเกิด(เมื่อ)วันที่(||||||
5|(ธันวาคม) pǒm gə̀ət|mʉ̂a|wan-tîi (hâa) (tan-waa-kom) I was born on (December 5th). Note: With เมื่อ (mʉ̂a) the statement is more formal, and ธันวาคม (tan-waa kom) is just ธันวา (tan-waa) more casually.  |wan-tîi (hâa) (tan-waa-kom) I |||
7|มีพี่ชาย(สาม)คน mii pîi-chaai|sǎam|kon  I have (three) older brothers. |kon  I have (three) older brot|||
8|มีพี่สาว(หนึ่ง)คน mii pîi-sǎao|nʉ̀ng|kon I have (one) older sister. |kon I have (one) older sister.|||
9|มีน้องชาย(สอง)คน mii nɔ́ɔng-chaai|sɔ̌ɔng|kon I have (two) younger brothers. |kon I have (two) younger broth|||
10|ตอนฉันอายุ(เจ็ด)ขวบ... dtɔɔn chǎn aa-yú|jèt|kùap When I was (seven) years old...  Note: For ages over 10, use ปี (bpii) instead of ขวบ (kùap).  |kùap When I was (seven) years |||
11|เขายังเด็ก|kǎo yang dèk|He's still young. / He's just a kid.  |He's still young. / He's just |||
12|เรียนสาขาอะไร|rian sǎa-kǎa à-rai|What's your major? / What field are you studying?  |What's your major? / What fiel|||
13|ฉันชอบอยู่คนเดียว|chǎn chɔ̂ɔp yùu kon-diao|I like being alone.  |I like being alone.  |||
14|หวัดดี INFORMAL|wàt-dii|Hi.  |Hi.  |||
15|ขอเดา(นะ) kɔ̌ɔ dao|ná|Let me guess.  |Let me guess.  |||
16|เดาไม่ถูก|dao-mâi-tùuk|(I) can't guess. / It's unpredictable.  |(I) can't guess. / It's unpred|||
17|(มัน)เข้าใจยาก|man|kâo-jai yâak  It's hard to understand.  |kâo-jai yâak  It's hard to und|||
18|(มัน)เข้าใจง่าย|man|kâo-jai ngâai  It's easy to understand.  |kâo-jai ngâai  It's easy to un|||
19|ราคาเท่าไหร่(ครับ) raa-kaa tâo-rài|kráp|How much is it? / How much is this?  |How much is it? / How much is |||
20|...ไปทางไหนครับ/คะ|...bpai taang-nǎi kráp/ká|Which way is...? / How do I get to...? |Which way is...? / How do I ge|||
1|ทำไมถึงชอบ(...) tam-mai tʉ̌ng chɔ̂ɔp|...|Why do you like (it/him, etc.)?  |Why do you like (it/him, etc.)|Super Useful Short Expressions, Part 31  |low-intermediate level|
2|ไม่ค่อยสนใจเรื่อง(ประวัติศาสตร์) mâi-kɔ̂i sǒn-jai rʉ̌ang|bprà-wàt-dtì-sàat|I'm not (so) interesting in (history).  |I'm not (so) interesting in (h|||
3|ไม่ดีเท่าไหร่|mâi-dii tâo-rài|(It's) not so good. |(It's) not so good. |||
4|ไม่ไกลจาก(โรงแรม) mâi-glai jàak|roong-rɛɛm|(It's) not far from (the hotel). |(It's) not far from (the hotel|||
5|ใครจะ(มา)สนใจ INFORMAL krai jà|maa|sǒn-jai Who cares? / Who would be interested?  Note: This expression is rather strong.  |sǒn-jai Who cares? / Who would|||
6|มันเกี่ยวกับอะไร|man gìao-gàp à-rai|What's it about? (movie, book, etc.)  |What's it about? (movie, book,|||
7|ฉันยังสงสัยว่าทำไม|chǎn yang sǒng-sǎi wâa tam-mai|I still wonder why. |I still wonder why. |||
8|ค่อนข้างเยอะ|kɔ̂n-kâang yə́|(There's) quite a few/pretty much/quite a lot.  |(There's) quite a few/pretty m|||
9|ช่างมัน(เถอะ) châng-man|tə̀|(Just) forget it. / So be it. / Never mind. / To hell with it.  |(Just) forget it. / So be it. |||
10|(แล้ว)ผลเป็นยังไง INFORMAL|lɛ́ɛo|pǒn bpen-yang-ngai What was the result? / How did it turn out? Note: More formal would be เป็นอย่างไร (bpen-yàang-rai).  |pǒn bpen-yang-ngai What was th|||
11|ไม่รู้ว่าเขาไปไหน (mâi-rúu wâa kǎo bpai nǎi) I don't know where he went. ||||||
12|ไม่มีใครบอกได้ว่า...|mâi mii krai bɔ̀ɔk dâi wâa...|No one can tell... / No one can say...  |No one can tell... / No one ca|||
13|...ถ้าจำเป็น...|...tâa jam-bpen...|If necessary... / ...if needed. / If (I) have to...  |If necessary... / ...if needed|||
14|ยังไม่ได้ไป|yang mâi-dâi bpai|(He) hasn't been there yet. / (He) hasn't left/gone.  |(He) hasn't been there yet. / |||
15|เป็นยังไงบ้าง INFORMAL|bpen yang-ngai bâang|How are things going? / How is it? / How is she?  |How are things going? / How is|||
16|เป็น(หนังสือ)ที่ขายดีที่สุด bpen|nǎng-sʉ̌ʉ|tîi kǎai dii-tîi-sùt It was a bestseller. / It was the bestselling (book).  |tîi kǎai dii-tîi-sùt It was a |||
17|คนให้เข้ากัน|kon hâi-kâo-gan|Mix/blend/scramble them together. |Mix/blend/scramble them togeth|||
18|ปรุงด้วย(ซีอิ๊วขาว) bprung dûai|sii-íu-kǎao|Season with (light soy sauce). |Season with (light soy sauce).|||
19|ห้ามสูบบุหรี่|hâam sùup-bù-rìi|No smoking (allowed).  |No smoking (allowed).  |||
20|เชื่อเถอะ|chʉ̂a-tə̀|Trust me. / Believe me.  |Trust me. / Believe me.  |||
1|อยู่ดีๆ...|yùu-dii-dii...|All of the sudden... / Suddenly... / Unexpectedly... / Then out of nowhere...  |All of the sudden... / Suddenl|Super Useful Short Expressions, Part 32  |high-intermediate level|
2|ซึ่งแปลว่า...|sʉ̂ng bplɛɛ-wâa...|Which means...  |Which means...  |||
3|อย่างไรก็ตาม... FORMAL|yàang-rai-gɔ̂ɔ-dtaam|However... / Nevertheless... |However... / Nevertheless... |||
4|ดังนั้น... SEMI-FORMAL|dang-nán|Therefore... / So...  |Therefore... / So...  |||
5|เรียกง่ายๆ(ว่า)... rîak ngâai-ngâai|wâa|... |... |||
..for short / Also called... / Otherwise known as...  |||||||
6|ไม่มีหลักฐานอะไร(เลย) mâi-mii làk-tǎan à-rai|ləəi|There's no proof/evidence (at all).  |There's no proof/evidence (at |||
7|ซ้ำร้าย...|sám-ráai...|(And) worse (yet)... / Moreover... / In addition...  Note: This carries a negative meaning and isn't the same as a neutral  'moreover'.  |(And) worse (yet)... / Moreove|||
8|ขึ้นต้นด้วย|P|kʉ̂n-dtôn-dûai (P)  It starts/begins with (the letter P).  |kʉ̂n-dtôn-dûai (P)  It starts/|||
9|แต่มีข้อแม้(ว่า...) dtɛ̀ɛ mii kɔ̂ɔ-mɛ́ɛ|wâa...|But under one condition(...) / But there's one stipulation.  |But under one condition(...) /|||
10|เป็นสัญลักษณ์ของ...|bpen sǎn-yá-lák kɔ̌ɔng...|It's a symbol of... / It symbolizes... / It's a sign of...  |It's a symbol of... / It symbo|||
11|เขาได้รับแรงบันดาลใจจาก(แม่ชีเทเรซ่า)|kǎo dâi-ráp rɛɛng-ban-daan-jai  jàak (mɛ̂ɛ-chii tee-ree-sâa|)  She was inspired by (Mother Teresa). |)  She was inspired by (Mother|||
12|ไม่มีทางรักษา|mâi-mii taang rák-sǎa|There's no cure. / It's not treatable.  |There's no cure. / It's not tr|||
13|มีไม่กี่คน(ที่)... SEMI-LITERARY mii-mâi-gìi kon|tîi|... Not many... / Few people... / There are (very) few who...  |... Not many... / Few people..|||
14|(มัน)นานมาแล้ว(...) SEMI-LITERARY|man|naan-maa-lɛ́ɛo(...) (It) (was) a long time ago. / Long ago...  |naan-maa-lɛ́ɛo(...) (It) (was)|||
15|ยิ่งไปกว่านั้น... SEMI-LITERARY|yîng-bpai-gwàa-nán...|Moreover... / In addition... / Besides... / Also...  |Moreover... / In addition... /|||
16|...อีกด้วย|...ìik-dûai|||||
..also/as well/too  |||||||
17|ไม่เห็นจะยาก|mâi hěn jà yâak|It's not so hard. / It can't be that hard, can it?  |It's not so hard. / It can't b|||
18|เพิ่มสีสันให้(กับ)(ชีวิต) SEMI-LITERARY pə̂əm sǐi-sǎn hâi|gàp|(chii-wít) Add some color to (your life). / Brighten/spice up (your life).  |(chii-wít) Add some color to (|||
19|ปฏิเสธไม่ได้ว่า...|bpà-dtì-sèet mâi-dâi wâa...|I can't deny... / You can't deny...  |I can't deny... / You can't de|||
20|โดยส่วนตัว(ฉันไม่เห็นด้วย) dooi-sùan-dtua|chǎn mâi-hěn-dûai|Personally, (I don't agree).  |Personally, (I don't agree).  |||
1|ไม่เป็นไร|mâi-bpen-rai|It's okay. / It's fine. / It's no problem. / It's all right. / You're welcome. / Never mind.  |It's okay. / It's fine. / It's|||
