sequence|thai|phonetic|description|desc-short|set|level|
14|ผมไม่ใช่คนโง่|pǒm mâi-châi kon-ngôo|I'm not stupid! / I'm not a fool!  |I'm not stupid! / I'm not a fo|||
15|ต้องจองล่วงหน้า|dtɔ̂ng jɔɔng lǔang-nâa|You have to make advance reservations. / You need to reserve/book (it) in  advance.  |You have to make advance reser|||
16|ก็ดีเหมือนกัน|gɔ̂ɔ dii mʉ̌an-gan|Fine. / Okay. / (That) sounds good. (I like that idea.)  |Fine. / Okay. / (That) sounds |||
17|ไม่ว่ายังไง...|b|No matter what... / No matter what happens...  |No matter what... / No matter |||
18|คงไม่หรอก|kong mâi rɔ̀ɔk|It's not likely. / I don't think so. / Probably not.  |It's not likely. / I don't thi|||
19|(พี่)คิดมาก|pîi|kít-mâak Don't think about it so muchrelax. / You're overthinking things/it.  |kít-mâak Don't think about it |||
20|เขาไม่รู้ด้วยซ้ำว่า...|kǎo mâi rúu dûai-sám wâa...|He doesn't even know (that)...  |He doesn't even know (that)...|||
1|ความจริงก็คือ...|kwaam-jing gɔ̂ɔ kʉʉ...|The truth is...  |The truth is...  |Super Useful Short Expressions, Part 10  |mid-intermediate level|
2|ฉันรู้แล้ว(ค่ะ) chǎn rúu lɛ́ɛo|kà|I know (already). |I know (already). |||
3|(มัน)สุดๆไปเลย|man|sùt-sùt bpai ləəi This is totally awesome! / Splendid! |sùt-sùt bpai ləəi This is tota|||
4|ฉันเกือบตาย|chǎn gʉ̀ap dtaai|I almost died.  |I almost died.  |||
5|ไม่ได้สังเกตว่า...|mâi-dâi sǎng-gèet wâa...|I didn't notice...  |I didn't notice...  |||
6|ยังไม่ได้บอกเลยว่า...|yang mâi-dâi bɔ̀ɔk ləəi wâa...|You haven't told me yet... / You still haven't told me... / I haven't told you yet... / I still haven't told you...  |You haven't told me yet... / Y|||
7|ไม่ค่อยไว้ใจ(เขา) mâi kɔ̂i wái-jai|kǎo|I don't (really) trust (him). / I don't trust (him) so much.  |I don't (really) trust (him). |||
8|ไม่มีอะไรน่าสนใจหรอก|mâi mii à-rai nâa-sǒn-jai rɔ̀ɔk|It's nothing special. / There's nothing of interest (there). / There's nothing to see.  |It's nothing special. / There'|||
9|ไม่เอา(น่า/นะ) mâi ao|nâa/ná|Don't. / I don't want it. / Come on!  |Don't. / I don't want it. / Co|||
10|เดี๋ยวใครเห็นเข้า|dǐao krai hěn kâo|Careful/watch outsomeone will see us!  |Careful/watch outsomeone will |||
11|ผมถึงได้บอก(ไง)ว่า...|chǎn tʉ̌ng dâi bɔ̀ɔk (ngai|wâa...) That's why I said/told you...  |wâa...) That's why I said/told|||
12|ไม่รู้จะทำยังไงแล้ว|mâi rúu jà tam yang-ngai lɛ́ɛo|I don't know what (else) to do! / I don't even know what to do.  |I don't know what (else) to do|||
13|เขาเคยเล่าว่า...|kǎo kəəi lâo wâa|He once told me... / He told me before that...  |He once told me... / He told m|||
14|ถ้าจำไม่ผิด...|tâa jam mâi pìt...|If I'm not mistaken... / If I recall correctly... / If my memory serves me well... |If I'm not mistaken... / If I |||
15|(ไป)นอนก่อน(นะ)|bpai|nɔɔn gɔ̀ɔn (ná) I'm going to bed.  |nɔɔn gɔ̀ɔn (ná) I'm going to b|||
16|เตือนแล้วนะ(ครับ)ว่า... dtʉan lɛ́ɛo ná|kráp|wâa... I warned you (that)...  |wâa... I warned you (that)... |||
17|ปกติฉันตื่น(เจ็ด)โมงเช้า bpòk-gà-dtì chǎn dtʉ̀ʉn|jèt|moong cháao I usually get up at (7:|moong cháao I usually get up a|||
00|.  ||||||
18|กินไม่ลง/ทานไม่ลง|gin mâi long/ taan mâi long|I (just) can't eat this.  |I (just) can't eat this.  |||
19|อ่านไม่รู้เรื่อง|àan mâi-rúu-rʉ̂ang|I can't understand this at all. / I can't read it. |I can't understand this at all|||
20|ฉันไม่รู้เรื่อง|chǎn mâi-rúu-rʉ̂ang|I don't know anything about it! |I don't know anything about it|||
1|ลืมอะไรเหรอ|lʉʉm à-rai rə̌ə|Did you forget something?  |Did you forget something?  |Super Useful Short Expressions, Part 11  |low-intermediate level|
2|ลืมบอก(ไป)ว่า... lʉʉm bɔ̀ɔk|bpai|wâa... I forgot to tell you...  |wâa... I forgot to tell you...|||
3|ผมจะไม่มีวันลืม|pǒm jà mâi mii wan lʉʉm|I will never forget! / I'll always remember!  |I will never forget! / I'll al|||
4|จริงเหรอ|jing rə̌ə|Really?/ Seriously? |Really?/ Seriously? |||
5|นี่คุณเมาหรือเปล่า|nîi kun mao rʉ̌ʉ-bplàao|Are you drunk?  |Are you drunk?  |||
6|ไม่ไหวแล้ว|mâi-wǎi lɛ́ɛo|I can't take it anymore! / I can't stand this anymore! / I can't do this anymore!  |I can't take it anymore! / I c|||
